Round,Home Team,Home Team Score,Away Team,Away Team Score
1,Brisbane,80,Sydney,78
2,Adelaide,83,Brisbane,104
3,Brisbane,137,Collingwood,77
4,West Coast,79,Brisbane,76
5,Brisbane ,110,Hawthorn,62
6,St.Kilda,92,Brisbane,91
7,North,76,Brisbane,120
8,Brisbane,140,Carlton,102
9,Fremantle,137,Brisbane,78
10,Melbourne,83,Brisbane,123
11,Brisbane,123,Port Adelaide,86
12,Essendon,96,Brisbane,162
13,Geelong,92,Brisbane,65
14,Brisbane,114,Richmond,96
15,Brisbane,136,Western Bulldogs,68
16,Collingwood,73,Brisbane,109
17,Brisbane,189,Adelaide Crows,48
18,Sydney,83,Brisbane,51
19,Brisbane,73,West Coast,87
20,Hawthorn,43,Brisbane,66
21,Brisbane,130,St.Kilda,85
22,Brisbane,170,North,57